"elev" "smi" "dbh" "tht" "cr" "ba" "dg" "hg"
"437" 2543 8.6 6.9 36.5 6 105.6 1.3 6.8
"438" 2543 8.6 4.7 28.2 5 105.6 0.1 5.8
"439" 2543 8.6 4.7 25.1 6 105.6 0.2 5
"440" 2543 8.6 4.3 25.1 4 105.6 0.5 5.4
"441" 2543 8.6 1.3 12.8 8 105.6 0.7 3.4
"442" 2543 8.6 4.4 31.8 5 105.6 0.1 6.7
"443" 2543 8.6 5.4 31.5 5 105.6 0.7 7
"444" 2543 8.6 4.4 28.4 5 105.6 0.4 5.1
"445" 2543 8.6 4.7 29.8 4 105.6 0.6 7.1
"446" 2543 8.6 4.2 21.2 4 72 0.3 2.9
"447" 2543 8.6 4.5 21.9 4 72 0.7 5.1
"448" 2543 8.6 4.1 25.8 5 72 0.4 4
"449" 2543 8.6 4.1 26 4 72 0.8 3.2
"450" 2543 8.6 4.3 25.5 5 72 0.8 5
"451" 2543 8.6 4.5 25.1 4 72 0.5 6
"452" 2543 8.6 3.3 19.5 4 72 0.4 5.8
"453" 2543 8.6 3.9 20.8 4 72 0.3 4.3
"454" 2543 8.6 3.4 24.9 4 72 0.5 6.8
"455" 2543 8.6 4.1 29.1 4 72 0.6 5
"456" 2543 8.6 4.1 27.3 4 72 1.1 3.9
"457" 2543 8.6 4.3 28.1 4 72 0.7 4.5
"458" 2543 8.6 3.6 27.5 4 72 1 3.8
"459" 2543 8.6 2.5 21.3 3 72 0.2 2.4
"460" 2543 8.6 3.2 23.6 4 72 0.6 4.2
"461" 2543 8.6 3.6 23.4 4 72 0.3 3.2
"462" 2543 8.6 3.7 26 4 72 0.8 4.3
"463" 2543 8.6 3.5 24.3 4 72 0.9 3.7
"464" 2543 8.6 3.8 26.1 3 72 1 5
"465" 2543 8.6 3.7 21.8 5 72 0.6 4.4
"466" 2543 8.6 4.1 24.4 4 72 0.9 4.4
"467" 2543 8.6 5.4 29.2 5 72 1 2.7
"468" 2543 8.6 3.5 23.3 4 72 0.6 4.5
"469" 2543 8.6 5.2 26.4 5 72 0.7 5.8
"470" 2543 8.6 3.4 26.1 4 72 0.3 3
"471" 2543 8.6 3.6 25.3 3 72 0.7 1.6
"472" 2543 8.6 5.1 30.1 5 72 1.3 4.4
"473" 2543 8.6 2.4 14.7 4 38.7 0.3 0.3
"474" 2543 8.6 2.5 14.6 5 38.7 0.5 3.2
"475" 2543 8.6 3.1 18.1 4 38.7 0.2 2
"476" 2543 8.6 3.4 20.8 4 38.7 0.6 3.2
"477" 2543 8.6 1.8 13.5 3 38.7 0.4 1
"478" 2543 8.6 2.6 17.8 4 38.7 0.7 4.1
"479" 2543 8.6 3.7 22.2 3 38.7 0.7 2.8
"480" 2543 8.6 2.9 24.4 3 38.7 0.5 3.9
"481" 2543 8.6 3.6 23.5 4 38.7 1.3 5.1
"482" 2543 8.6 3.8 26.2 3 38.7 1 4
"483" 2543 8.6 3.2 25.1 3 38.7 0.8 4.2
"484" 2543 8.6 2.1 17.1 4 38.7 0.3 1.3
"485" 2543 8.6 2.9 21.5 4 38.7 0.8 2.5
"486" 2543 8.6 5.4 31.2 4 38.7 1.6 5.7
"487" 2543 8.6 3.9 28.3 3 38.7 0.7 5.3
"488" 2543 8.6 3.3 25 4 38.7 1.2 2.6
"489" 2543 8.6 2.7 22.5 3 38.7 1 3.6
"490" 2543 8.6 5.9 28.3 4 38.7 1.4 4.7
"491" 2543 8.6 4.5 25.3 4 38.7 0.5 2.6
"492" 2543 8.6 5.1 26.6 4 38.7 0.7 3.4
"493" 2543 8.6 4.7 29.3 3 38.7 0.8 6
"494" 2543 8.6 3.6 29.7 4 38.7 0.6 4.6
"495" 2543 8.6 3.7 23.3 4 38.7 0.6 3.3
"496" 2543 8.6 3.3 24 4 38.7 0.5 3.5
"497" 2543 8.6 3.5 23.1 4 38.7 0.8 2.8
"498" 2543 8.6 3.8 23 5 38.7 1 4
"499" 2543 8.6 2.7 19.2 4 38.7 0.6 3.1
"500" 2543 8.6 4.2 25.3 4 38.7 1.2 3
"501" 2543 8.6 4 25 4 38.7 0.9 3
"502" 2543 8.6 4 24 4 38.7 0.7 1.4
"503" 2543 8.6 4.6 23.9 4 23 1 4.7
"504" 2543 8.6 5.2 25 6 23 1.3 5.7
"505" 2543 8.6 3.2 21.4 3 23 1.4 3.4
"506" 2543 8.6 3.7 22.9 4 23 1 2.7
"507" 2543 8.6 3.2 23.2 3 23 1.3 1.9
"508" 2543 8.6 2.9 18.5 3 23 1.1 2
"509" 2543 8.6 4.7 23.7 4 23 1.2 2.6
"510" 2543 8.6 5.4 22.3 4 23 1.3 3.9
"511" 2543 8.6 2.5 22.2 2 23 1.5 2.3
"512" 2543 8.6 3.3 21.2 3 23 1.2 2.7
"513" 2543 8.6 3.7 21.2 5 23 1.2 2
"514" 2543 8.6 2.9 23.7 3 23 1.3 2.8
"515" 2543 8.6 4.1 24.1 3 23 1.7 6
"516" 2543 8.6 4.7 26.7 4 23 2.1 7.8
"517" 2543 8.6 2.1 17 3 23 0.9 1.8
"518" 2543 8.6 3.8 22.8 3 23 1.6 3.8
"519" 2543 8.6 4.7 25.3 4 23 2.1 3.4
"520" 2543 8.6 4 22.6 3 23 0.8 4.6
"521" 2543 8.6 3.5 23.8 4 23 1 4.5
"522" 2543 8.6 2.5 15.8 4 23 0.7 2.5
"523" 2543 8.6 2.8 18.8 4 23 1 2.8
"524" 2543 8.6 3.1 18.2 5 23 1.5 3.3
"525" 2543 8.6 3 24.5 4 23 1.4 3.2
"526" 2543 8.6 4 24.3 4 23 0.8 4.5
"527" 2543 8.6 4.4 25.8 5 23 1.7 6.2
"528" 2543 8.6 4.8 24.5 5 23 1.2 4.4
"529" 2543 8.6 5.6 26.9 6 23 1.4 6.5
"530" 2543 8.6 3.3 20.7 5 23 0.8 1.9
